th: 0.1 	 ACC: 0.9999929760729926 	 MCC: 0.994425431422951 	 CM: [[178, 0], [2, 284561]] 	 FN: [] 	 FP: ['P56409', 'Q8WPG5']
th: 0.01 	 ACC: 0.9999964880364963 	 MCC: 0.997201039556769 	 CM: [[178, 0], [1, 284562]] 	 FN: [] 	 FP: ['Q8WPG5']
th: 0.001 	 ACC: 1.0 	 MCC: 1.0 	 CM: [[178, 0], [0, 284563]] 	 FN: [] 	 FP: []
th: 0.0001 	 ACC: 0.9999964880364963 	 MCC: 0.9971853027729374 	 CM: [[177, 1], [0, 284563]] 	 FN: ['Q11101'] 	 FP: []
th: 1e-05 	 ACC: 0.9999964880364963 	 MCC: 0.9971853027729374 	 CM: [[177, 1], [0, 284563]] 	 FN: ['Q11101'] 	 FP: []
th: 1e-06 	 ACC: 0.9999964880364963 	 MCC: 0.9971853027729374 	 CM: [[177, 1], [0, 284563]] 	 FN: ['Q11101'] 	 FP: []
th: 1e-07 	 ACC: 0.9999964880364963 	 MCC: 0.9971853027729374 	 CM: [[177, 1], [0, 284563]] 	 FN: ['Q11101'] 	 FP: []
th: 1e-08 	 ACC: 0.9999859521459853 	 MCC: 0.988693253400229 	 CM: [[174, 4], [0, 284563]] 	 FN: ['P0CH75', 'P0CAR0', 'Q9BQY6', 'Q11101'] 	 FP: []
th: 1e-09 	 ACC: 0.9999859521459853 	 MCC: 0.988693253400229 	 CM: [[174, 4], [0, 284563]] 	 FN: ['P0CH75', 'P0CAR0', 'Q9BQY6', 'Q11101'] 	 FP: []
th: 1e-10 	 ACC: 0.9999859521459853 	 MCC: 0.988693253400229 	 CM: [[174, 4], [0, 284563]] 	 FN: ['P0CH75', 'P0CAR0', 'Q9BQY6', 'Q11101'] 	 FP: []
th: 1e-11 	 ACC: 0.9999859521459853 	 MCC: 0.988693253400229 	 CM: [[174, 4], [0, 284563]] 	 FN: ['P0CH75', 'P0CAR0', 'Q9BQY6', 'Q11101'] 	 FP: []
th: 1e-12 	 ACC: 0.9999824401824816 	 MCC: 0.985846354874786 	 CM: [[173, 5], [0, 284563]] 	 FN: ['P0CH75', 'P0CAR0', 'P0DMW8', 'Q9BQY6', 'Q11101'] 	 FP: []
