th: 0.1 	 ACC: 0.9999754162554743 	 MCC: 0.9806913098186237 	 CM: [[177, 1], [6, 284557]] 	 FN: ['D3GGZ8'] 	 FP: ['P83605', 'C5H8E7', 'P84555', 'Q09JW4', 'Q09JW3', 'P0DJ63']
th: 0.01 	 ACC: 0.999989464109489 	 MCC: 0.9915479634358921 	 CM: [[176, 2], [1, 284562]] 	 FN: ['O62247', 'D3GGZ8'] 	 FP: ['P84555']
th: 0.001 	 ACC: 0.9999929760729926 	 MCC: 0.9943626580086055 	 CM: [[176, 2], [0, 284563]] 	 FN: ['O62247', 'D3GGZ8'] 	 FP: []
th: 0.0001 	 ACC: 0.999989464109489 	 MCC: 0.9915319978328161 	 CM: [[175, 3], [0, 284563]] 	 FN: ['O62247', 'P86963', 'D3GGZ8'] 	 FP: []
th: 1e-05 	 ACC: 0.999989464109489 	 MCC: 0.9915319978328161 	 CM: [[175, 3], [0, 284563]] 	 FN: ['O62247', 'P86963', 'D3GGZ8'] 	 FP: []
th: 1e-06 	 ACC: 0.999989464109489 	 MCC: 0.9915319978328161 	 CM: [[175, 3], [0, 284563]] 	 FN: ['O62247', 'P86963', 'D3GGZ8'] 	 FP: []
th: 1e-07 	 ACC: 0.999989464109489 	 MCC: 0.9915319978328161 	 CM: [[175, 3], [0, 284563]] 	 FN: ['O62247', 'P86963', 'D3GGZ8'] 	 FP: []
th: 1e-08 	 ACC: 0.9999824401824816 	 MCC: 0.985846354874786 	 CM: [[173, 5], [0, 284563]] 	 FN: ['O62247', 'P86963', 'D9IFL3', 'D3GGZ8', 'P26226'] 	 FP: []
th: 1e-09 	 ACC: 0.9999824401824816 	 MCC: 0.985846354874786 	 CM: [[173, 5], [0, 284563]] 	 FN: ['O62247', 'P86963', 'D9IFL3', 'D3GGZ8', 'P26226'] 	 FP: []
th: 1e-10 	 ACC: 0.9999719042919706 	 MCC: 0.9772560210947467 	 CM: [[170, 8], [0, 284563]] 	 FN: ['O62247', 'P86963', 'D9IFL3', 'D3GGZ8', 'Q7Z1K3', 'P26226', 'Q2ES49', 'Q09JW6'] 	 FP: []
th: 1e-11 	 ACC: 0.9999578564379559 	 MCC: 0.9656836667945491 	 CM: [[166, 12], [0, 284563]] 	 FN: ['O62247', 'P86963', 'D9IFL3', 'D3GGZ8', 'Q8IUA0', 'Q7Z1K3', 'P26226', 'Q2ES49', 'C0LNR2', 'Q09JW6', 'I6VXS1', 'M9PE65'] 	 FP: []
th: 1e-12 	 ACC: 0.9999578564379559 	 MCC: 0.9656836667945491 	 CM: [[166, 12], [0, 284563]] 	 FN: ['O62247', 'P86963', 'D9IFL3', 'D3GGZ8', 'Q8IUA0', 'Q7Z1K3', 'P26226', 'Q2ES49', 'C0LNR2', 'Q09JW6', 'I6VXS1', 'M9PE65'] 	 FP: []
